"datetimeMT","Cond.µS.cm.mn","ODO.mg.L.mn","SpCond.µS.cm.mn","Turbidity.FNU.mn","Temp..C.mn","siteID","rho","fDOM.QSU.mn.Tc","DTW_m_con"
"2024-04-15 03:30:00",896.345454545455,1.88,1179.51818181818,2.21454545454545,12.431,"SLOC",-0.00317497263550439,64.3440881336898,1.01805675386774
"2024-04-15 03:45:00",895.045454545455,2.40636363636364,1179.58181818182,1.74,12.3711818181818,"SLOC",-0.00317497263550439,64.616403578269,1.01680582223225
"2024-04-15 04:00:00",888.781818181818,2.85636363636364,1174.11818181818,1.61818181818182,12.276,"SLOC",-0.00317497263550439,64.7828784834901,1.01680582223225
"2024-04-15 04:15:00",885.890909090909,2.71,1172.18181818182,2.21181818181818,12.2115454545455,"SLOC",-0.00317497263550439,64.6015299703682,1.01649308932338
"2024-04-15 04:30:00",882.354545454545,2.6,1169.58181818182,2.25181818181818,12.1423636363636,"SLOC",-0.00317497263550439,63.973871969573,1.01743128805
"2024-04-15 04:45:00",881.909090909091,2.47,1170.50909090909,2.23909090909091,12.0908181818182,"SLOC",-0.00317497263550439,63.5917897099462,1.01743128805
"2024-04-15 05:00:00",881.154545454545,2.43,1170.93636363636,2.59727272727273,12.0433636363636,"SLOC",-0.00317497263550439,63.4786797169344,1.01836948677661
"2024-04-15 05:15:00",880.818181818182,2.42,1171.80909090909,2.77909090909091,11.999,"SLOC",-0.00317497263550439,63.4779504539852,1.01805675386774
"2024-04-15 05:30:00",880.336363636364,2.36,1172.52727272727,2.90818181818182,11.953,"SLOC",-0.00317497263550439,63.301445636919,1.01743128805
"2024-04-15 05:45:00",879.436363636364,2.3,1172.41818181818,2.84272727272727,11.9169090909091,"SLOC",-0.00317497263550439,62.6930982477656,1.01743128805
"2024-04-15 06:00:00",878.936363636364,2.25,1173.05454545455,3.14909090909091,11.8730909090909,"SLOC",-0.00317497263550439,62.4752729025771,1.01868221968548
"2024-04-15 06:15:00",877.436363636364,2.19,1172.73636363636,3.34545454545455,11.817,"SLOC",-0.00317497263550439,62.5553410129145,1.02055861713872
"2024-04-15 06:30:00",877.272727272727,2.16,1173.77272727273,3.28272727272727,11.7744545454545,"SLOC",-0.00317497263550439,62.7182328645354,1.02087135004759
"2024-04-15 06:45:00",876.672727272727,2.21,1174.39090909091,3.51181818181818,11.7282727272727,"SLOC",-0.00317497263550439,62.5619842812333,1.02055861713872
"2024-04-15 07:00:00",877.172727272727,2.18,1176.12727272727,3.56727272727273,11.692,"SLOC",-0.00317497263550439,62.4233636801777,1.02024588422984
"2024-04-15 07:15:00",877,2.15,1176.78181818182,3.25727272727273,11.6617272727273,"SLOC",-0.00317497263550439,62.4088860524522,1.02055861713872
"2024-04-15 07:30:00",876.572727272727,2.21,1177.46363636364,2.72636363636364,11.621,"SLOC",-0.00317497263550439,62.3671350381023,1.01993315132097
"2024-04-15 07:45:00",877.554545454546,2.19,1179.70909090909,2.49818181818182,11.5901818181818,"SLOC",-0.00317497263550439,61.9741288018255,1.0196204184121
"2024-04-15 08:00:00",878.990909090909,2.21,1182.65454545455,3.62818181818182,11.5562727272727,"SLOC",-0.00317497263550439,61.6390324415579,1.01930768550323
"2024-04-15 08:15:00",878.672727272727,2.19,1183.34545454545,3.93909090909091,11.52,"SLOC",-0.00317497263550439,61.986167779351,1.0196204184121
"2024-04-15 08:30:00",878.4,2.13,1183.85454545455,3.34636363636364,11.491,"SLOC",-0.00317497263550439,61.998129235053,1.01993315132097
"2024-04-15 08:45:00",879.2,2.12181818181818,1185.68181818182,3.92818181818182,11.466,"SLOC",-0.00317497263550439,61.6987977465868,1.01993315132097
"2024-04-15 09:00:00",878.709090909091,2.13,1185.6,3.73545454545455,11.4479090909091,"SLOC",-0.00317497263550439,61.4461257319286,1.01993315132097
"2024-04-15 09:15:00",879.027272727273,2.12,1186.20909090909,3.65818181818182,11.442,"SLOC",-0.00317497263550439,61.5670407158941,1.01868221968548
"2024-04-15 09:30:00",880.309090909091,2.09,1188.21818181818,4.06818181818182,11.433,"SLOC",-0.00317497263550439,61.9401201995821,1.01743128805
"2024-04-15 09:45:00",880.7,2.06,1188.96363636364,4.17,11.4255454545455,"SLOC",-0.00317497263550439,61.8881660754124,1.01711855514112
"2024-04-15 10:00:00",881.627272727273,2.03,1190.09090909091,4.32727272727273,11.4295454545455,"SLOC",-0.00317497263550439,61.7573170585042,1.01711855514112
"2024-04-15 10:15:00",883.190909090909,2.03,1192.40909090909,4.36818181818182,11.423,"SLOC",-0.00317497263550439,61.4719703320567,1.01680582223225
"2024-04-15 10:30:00",884.690909090909,1.99,1194.2,4.55636363636364,11.4312727272727,"SLOC",-0.00317497263550439,61.3872353470997,1.01618035641451
"2024-04-15 10:45:00",884.709090909091,2.05636363636364,1194.06363636364,4.22272727272727,11.4350909090909,"SLOC",-0.00317497263550439,61.3077657705822,1.01586762350564
"2024-04-15 11:00:00",884.863636363636,1.97,1194.60909090909,4.14454545454545,11.425,"SLOC",-0.00317497263550439,61.2997820349631,1.01618035641451
"2024-04-15 11:15:00",885.127272727273,1.94,1194.98181818182,4.96,11.424,"SLOC",-0.00317497263550439,61.3048246033033,1.01586762350564
"2024-04-15 11:30:00",885.654545454546,1.94,1195.47272727273,4.9,11.431,"SLOC",-0.00317497263550439,60.9479263346591,1.01586762350564
"2024-04-15 11:45:00",886.445454545454,1.94,1196.17272727273,5.01636363636364,11.4438181818182,"SLOC",-0.00317497263550439,60.883192914542,1.01586762350564
"2024-04-15 12:00:00",887.509090909091,1.91090909090909,1197.19090909091,4.92090909090909,11.457,"SLOC",-0.00317497263550439,60.8141637013128,1.01492942477902
"2024-04-15 12:15:00",888.518181818182,1.9,1197.74545454545,3.43090909090909,11.482,"SLOC",-0.00317497263550439,60.9791810839606,1.01461669187015
"2024-04-15 12:30:00",889.527272727273,1.89,1198.27272727273,4.04818181818182,11.5104545454545,"SLOC",-0.00317497263550439,60.7002718399891,1.0139912260524
"2024-04-15 12:45:00",890.863636363636,1.88,1198.94545454545,3.70909090909091,11.546,"SLOC",-0.00317497263550439,60.9980391321071,1.01492942477902
"2024-04-15 13:00:00",891.981818181818,1.87,1199.12727272727,4.68727272727273,11.59,"SLOC",-0.00317497263550439,61.315760337707,1.01524215768789
"2024-04-15 13:15:00",893.209090909091,1.87,1199.27272727273,2.72636363636364,11.639,"SLOC",-0.00317497263550439,60.8618283447255,1.01618035641451
"2024-04-15 13:30:00",894.581818181818,1.87,1199.47272727273,2.10454545454545,11.692,"SLOC",-0.00317497263550439,60.2802781161301,1.01680582223225
